s_method,s_genre,s_rs,t_language,t_corpus,t_genre,LAS
GMM,fiction,rs41,Abaza,ATB,spoken,0.05521472392638037
GMM,fiction,rs41,Albanian,TSA,wiki,0.841648590021692
GMM,fiction,rs41,Beja,NSC,spoken,0.051341890315052506
GMM,fiction,rs41,Cantonese,HK,spoken,0.32567686443162935
GMM,fiction,rs41,Chinese,PUD,news,0.43661570601082517
GMM,fiction,rs41,Chukchi,HSE,spoken,0.16165904637491835
GMM,fiction,rs41,Erzya,JR,fiction,0.17327826337527616
GMM,fiction,rs41,Estonian,EDT,fiction,0.7234530175706646
GMM,fiction,rs41,Estonian,EWT,social,0.5850049793711766
GMM,fiction,rs41,Finnish,OOD,social,0.6595992997471309
GMM,fiction,rs41,Finnish,TDT,fiction,0.7445124145376034
GMM,fiction,rs41,Gheg,GPS,spoken,0.34256055363321797
GMM,fiction,rs41,Indonesian,PUD,wiki,0.755234297108674
GMM,fiction,rs41,Irish,TwittIrish,social,0.49212725976802957
GMM,fiction,rs41,Japanese,PUD,news,0.2702722482435597
GMM,fiction,rs41,Japanese,PUD,wiki,0.2709600634752711
GMM,fiction,rs41,Komi-Zyrian,IKDP,spoken,0.2407968817669987
GMM,fiction,rs41,Komi-Zyrian,Lattice,fiction,0.14564564564564564
GMM,fiction,rs41,Moksha,JR,fiction,0.18514851485148515
GMM,fiction,rs41,Tamil,TTB,news,0.35294117647058826
GMM,fiction,rs41,Thai,PUD,news,0.5545194349552212
gold,fiction,rs41,Abaza,ATB,spoken,0.0352760736196319
gold,fiction,rs41,Albanian,TSA,wiki,0.8167028199566161
gold,fiction,rs41,Beja,NSC,spoken,0.07934655775962661
gold,fiction,rs41,Cantonese,HK,spoken,0.3378946339556251
gold,fiction,rs41,Chinese,PUD,news,0.4229417909030481
gold,fiction,rs41,Chukchi,HSE,spoken,0.14532984977139124
gold,fiction,rs41,Erzya,JR,fiction,0.18278743636538278
gold,fiction,rs41,Estonian,EDT,fiction,0.7422459893048128
gold,fiction,rs41,Estonian,EWT,social,0.6097595675060464
gold,fiction,rs41,Finnish,OOD,social,0.6594047850612721
gold,fiction,rs41,Finnish,TDT,fiction,0.7531486146095718
gold,fiction,rs41,Gheg,GPS,spoken,0.3499134948096886
gold,fiction,rs41,Indonesian,PUD,wiki,0.7602193419740778
gold,fiction,rs41,Irish,TwittIrish,social,0.5226462774573964
gold,fiction,rs41,Japanese,PUD,news,0.2625878220140515
gold,fiction,rs41,Japanese,PUD,wiki,0.2544961650357048
gold,fiction,rs41,Komi-Zyrian,IKDP,spoken,0.2572542226071893
gold,fiction,rs41,Komi-Zyrian,Lattice,fiction,0.17342342342342343
gold,fiction,rs41,Moksha,JR,fiction,0.19801980198019803
gold,fiction,rs41,Tamil,TTB,news,0.3841126194067371
gold,fiction,rs41,Thai,PUD,news,0.555535038315945
GMM,news,rs41,Abaza,ATB,spoken,0.02147239263803681
GMM,news,rs41,Albanian,TSA,wiki,0.8036876355748374
GMM,news,rs41,Beja,NSC,spoken,0.03150525087514586
GMM,news,rs41,Cantonese,HK,spoken,0.32597009090020523
GMM,news,rs41,Chinese,PUD,news,0.45883581806096285
GMM,news,rs41,Chukchi,HSE,spoken,0.11936642717178315
GMM,news,rs41,Erzya,JR,fiction,0.162712515608491
GMM,news,rs41,Estonian,EDT,fiction,0.8476699770817417
GMM,news,rs41,Estonian,EWT,social,0.7372314696258359
GMM,news,rs41,Finnish,OOD,social,0.7634701419957207
GMM,news,rs41,Finnish,TDT,fiction,0.8636200071968334
GMM,news,rs41,Gheg,GPS,spoken,0.36678200692041524
GMM,news,rs41,Indonesian,PUD,wiki,0.8252243270189432
GMM,news,rs41,Irish,TwittIrish,social,0.4712628782479103
